,time,Air0min,Air0max,T_RDC_PV,Air1min,Air1max,T_1ER_PV,T_Ext_PV,Cloud,T_Depart_PV,EV_3Voies,EV_RDC,EV_1ER,RayM0,RayF0,RayM1,RayF1,date,yday,total_sec,cyclic_yday_cos,cyclic_yday_sin,cyclic_sec_cos,cyclic_sec_sin
2556,1676992528000000000,-0.3741496145361152,-1.4676441395910456,0.7028127450707534,16.5,16.5,19.0,2.5941128664410487,1.4735159568697482,12.5,0,-1.1455969740053689,0,81.17,513.2,51.58,191.99,2023-02-21 16:15:28,52,58528.0,0.6254105729852463,0.7802958510707755,-0.4404615466403944,-0.8977714775660628
2557,1676993428000000000,-0.3741496145361152,-1.4676441395910456,0.8734513866181569,16.5,16.5,19.0,2.397265047403288,1.103709075432396,12.5,0,-1.1455969740053689,0,81.92,552.11,51.44,197.85,2023-02-21 16:30:28,52,59428.0,0.6254105729852463,0.7802958510707755,-0.3808014206922047,-0.9246568433742317
2558,1676994329000000000,-0.3741496145361152,-1.4676441395910456,0.8734513866181569,16.5,16.5,19.0,2.397265047403288,1.103709075432396,12.5,0,-1.1455969740053689,0,75.65,509.98,47.84,186.34,2023-02-21 16:45:29,52,60329.0,0.6254105729852463,0.7802958510707755,-0.3194417335965387,-0.9476059195872713
2559,1676995229000000000,-0.3741496145361152,-1.4676441395910456,0.8734513866181569,16.5,16.5,19.0,2.397265047403288,1.103709075432396,12.5,0,-1.1455969740053689,0,68.91,462.04,43.97,172.6,2023-02-21 17:00:29,52,61229.0,0.6254105729852463,0.7802958510707755,-0.2567813919061006,-0.9664695115577964
2560,1676996129000000000,-0.3741496145361152,-1.4676441395910456,0.8734513866181569,16.5,16.5,19.0,2.2004172283655277,1.103709075432396,12.5,0,-1.1455969740053689,0,61.83,409.99,39.83,156.0,2023-02-21 17:15:29,52,62129.0,0.6254105729852463,0.7802958510707755,-0.1930214728737241,-0.9811945327047324
2561,1676997029000000000,-0.3741496145361152,-1.4676441395910456,0.8734513866181569,16.5,16.5,19.0,2.2004172283655277,1.3502469963906307,12.5,0,-1.1455969740053689,0,52.67,327.82,34.14,128.52,2023-02-21 17:30:29,52,63029.0,0.6254105729852463,0.7802958510707755,-0.12843500626130583,-0.9917179282269017
2562,1676997929000000000,-0.3741496145361152,-1.4676441395910456,0.7028127450707534,16.5,16.5,19.0,2.0035694093277674,1.3502469963906307,12.5,0,-1.1455969740053689,0,45.94,280.94,29.82,111.05,2023-02-21 17:45:29,52,63929.0,0.6254105729852463,0.7802958510707755,-0.06329856123437576,-0.9979946353290974
2563,1676998829000000000,-0.3741496145361152,-1.4676441395910456,0.7028127450707534,16.5,16.5,19.0,1.8067215902900067,1.3502469963906307,12.5,0,-1.1455969740053689,0,39.16,235.43,25.42,93.62,2023-02-21 18:00:29,52,64829.0,0.6254105729852463,0.7802958510707755,0.002108937949530933,-0.9999977761878899
2564,1676999729000000000,-0.3741496145361152,-1.4676441395910456,0.5321741035233499,16.5,16.5,19.0,1.6098737712522464,1.3502469963906307,12.5,0,-1.1455969740053689,0,32.38,192.17,21.0,76.66,2023-02-21 18:15:29,52,65729.0,0.6254105729852463,0.7802958510707755,0.06750740633736857,-0.9977187730465943
2565,1677000629000000000,-0.3741496145361152,-1.4676441395910456,0.5321741035233499,16.5,16.5,19.0,1.413025952214486,1.5043331969895277,12.5,0,-1.1455969740053689,0,25.59,150.61,16.58,60.17,2023-02-21 18:30:29,52,66629.0,0.6254105729852463,0.7802958510707755,0.13261679764734316,-0.9911673849465406
2566,1677001529000000000,-0.3741496145361152,-1.4676441395910456,0.36153546197594644,16.5,16.5,19.0,1.2161781331767254,1.5043331969895277,12.5,0,-1.1455969740053689,0,18.75,110.27,12.15,44.06,2023-02-21 18:45:29,52,67529.0,0.6254105729852463,0.7802958510707755,0.1971583034700915,-0.9803716659373604
2567,1677002429000000000,-0.3741496145361152,-1.4676441395910456,0.36153546197594644,16.5,16.5,19.0,1.2161781331767254,1.5043331969895277,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 19:00:29,52,68429.0,0.6254105729852463,0.7802958510707755,0.26085554716908754,-0.96537784494524
2568,1677003329000000000,-0.3741496145361152,-1.4676441395910456,0.36153546197594644,16.5,16.5,19.0,1.019330314138965,1.5043331969895277,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 19:15:29,52,69329.0,0.6254105729852463,0.7802958510707755,0.32343576736783247,-0.9462501278135614
2569,1677004230000000000,-0.3741496145361152,-1.4676441395910456,0.36153546197594644,16.5,16.5,18.5,1.019330314138965,0.9804401149532784,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 19:30:30,52,70230.0,0.6254105729852463,0.7802958510707755,0.3846981125142366,-0.9230424487681939
2570,1677005130000000000,-0.3741496145361152,-1.4676441395910456,0.19089682042854295,16.5,16.5,18.5,0.8224824951012045,0.9804401149532784,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 19:45:30,52,71130.0,0.6254105729852463,0.7802958510707755,0.44424430888707267,-0.8959056836639933
2571,1677006030000000000,-0.3741496145361152,-1.4676441395910456,0.19089682042854295,16.5,16.5,18.5,0.8224824951012045,0.9804401149532784,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 20:00:30,52,72030.0,0.6254105729852463,0.7802958510707755,0.5018881829276273,-0.8649325128804007
2572,1677006930000000000,-0.3741496145361152,-1.4676441395910456,0.19089682042854295,16.5,16.5,18.5,0.625634676063444,0.9804401149532784,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 20:15:30,52,72930.0,0.6254105729852463,0.7802958510707755,0.5573828947176109,-0.8302555682897987
2573,1677007830000000000,-0.3741496145361152,-1.4676441395910456,0.020258178881139472,16.5,16.5,18.5,0.625634676063444,0.33327807243791163,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 20:30:30,52,73830.0,0.6254105729852463,0.7802958510707755,0.610490807381435,-0.792023341892626
2574,1677008731000000000,-0.3741496145361152,-1.4676441395910456,0.020258178881139472,16.5,16.5,18.5,0.625634676063444,0.33327807243791163,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 20:45:31,52,74731.0,0.6254105729852463,0.7802958510707755,0.6610390735311589,-0.7503514798180031
2575,1677009631000000000,-0.3741496145361152,-1.4676441395910456,0.020258178881139472,16.5,16.5,18.5,0.625634676063444,0.33327807243791163,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 21:00:31,52,75631.0,0.6254105729852463,0.7802958510707755,0.7086990729350124,-0.7055108957493527
2576,1677010531000000000,-0.3741496145361152,-1.4676441395910456,0.020258178881139472,16.5,16.5,18.5,0.625634676063444,0.33327807243791163,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 21:15:31,52,76531.0,0.6254105729852463,0.7802958510707755,0.7533243141070971,-0.6576492057131003
2577,1677011431000000000,-0.3741496145361152,-1.4676441395910456,0.020258178881139472,16.5,16.5,18.5,0.4287868570256836,0.02510567124011797,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 21:30:31,52,77431.0,0.6254105729852463,0.7802958510707755,0.794723704913722,-0.6069713608138421
2578,1677012331000000000,-0.3741496145361152,-1.4676441395910456,-0.150380462666264,16.5,16.5,18.5,0.4287868570256836,0.02510567124011797,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 21:45:31,52,78331.0,0.6254105729852463,0.7802958510707755,0.832719966807704,-0.5536943713636399
2579,1677013231000000000,-0.3741496145361152,-1.4676441395910456,-0.150380462666264,16.5,16.5,18.5,0.4287868570256836,0.02510567124011797,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 22:00:31,52,79231.0,0.6254105729852463,0.7802958510707755,0.8671503939623199,-0.4980463776105528
2580,1677014132000000000,-0.3741496145361152,-1.4676441395910456,-0.150380462666264,16.5,16.5,18.0,0.4287868570256836,0.02510567124011797,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 22:15:32,52,80132.0,0.6254105729852463,0.7802958510707755,0.8978995646516512,-0.44020037687214136
2581,1677015033000000000,-0.3741496145361152,-1.4676441395910456,-0.150380462666264,16.5,16.5,18.0,0.4287868570256836,-0.12898052935877888,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 22:30:33,52,81033.0,0.6254105729852463,0.7802958510707755,0.9247952455495242,-0.380465180810275
2582,1677015933000000000,-0.3741496145361152,-1.4676441395910456,-0.150380462666264,16.5,16.5,18.0,0.4287868570256836,-0.12898052935877888,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 22:45:33,52,81933.0,0.6254105729852463,0.7802958510707755,0.9476988013283324,-0.31916607269702385
2583,1677016833000000000,-0.3741496145361152,-1.4676441395910456,-0.150380462666264,16.5,16.5,18.0,0.4287868570256836,-0.12898052935877888,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 23:00:33,52,82833.0,0.6254105729852463,0.7802958510707755,0.9665441653464856,-0.256500246461218
2584,1677017733000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.4287868570256836,-0.12898052935877888,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 23:15:33,52,83733.0,0.6254105729852463,0.7802958510707755,0.9812506388620653,-0.19273604679143094
2585,1677018633000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.4287868570256836,-0.1906150095983376,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 23:30:33,52,84633.0,0.6254105729852463,0.7802958510707755,0.9917552464976992,-0.12814652177990593
2586,1677019533000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.4287868570256836,-0.1906150095983376,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-21 23:45:33,52,85533.0,0.6254105729852463,0.7802958510707755,0.9980130059107944,-0.0630082536887074
